,ticker,year,ROE_CR,ROE_10K,percentage_diff
0,BAC,2020,6.2225,,
1,BAC,2021,11.515,11.778485791635205,97.76
2,BAC,2022,10.75,10.134318000673709,106.08
3,BAC,2023,13.7875,9.388449533764248,146.86
4,FRCB,2020,9.3825,,
5,FRCB,2021,10.9225,10.691164237404607,102.16
6,FRCB,2022,10.192499999999999,9.986804222648754,102.06
7,FRCB,2023,6.08,,
8,JPM,2020,5.0525,,
9,JPM,2021,14.52,16.856356182680855,86.14
10,JPM,2022,9.997499999999999,12.848639035294877,77.81
11,JPM,2023,15.985,15.97910385192112,100.04
12,PNC,2020,4.875,,
13,PNC,2021,12.46,10.437081263388176,119.38
14,PNC,2022,11.752500000000001,12.049000187249309,97.54
15,PNC,2023,13.9225,11.657841224620402,119.43
16,SBNY,2020,9.415,,
17,SBNY,2021,12.6875,13.439753951098833,94.4
18,SBNY,2022,17.0125,16.867323055240224,100.86
19,SIVB,2020,12.67,,
20,SIVB,2021,12.787500000000001,16.95310295759271,75.43
21,SIVB,2022,13.8475,9.981389578163771,138.73
