,company_name,ticker,year,accumulated_other_comprehensive_income_loss,interest_income,interest_income_plus_noninterest_income,net_income,net_interest_income,noninterest_expense,noninterest_income,stockholders_equity,total_assets,total_deposits_consolidated,NIM,ROA,ROE,ER,uninsured_deposit_percent,cohort
0,BANK OF AMERICA CORP,BAC,2020,-1656000000,51585000000,93753000000,17894000000,43360000000,55213000000,42168000000,272924000000,2819627000000,1795480000000,2.536399893566374,0.6484009211029489,6.2225,55.551593989329575,47.31034980620851,megabank
1,BANK OF AMERICA CORP,BAC,2021,-5104000000,47672000000,93851000000,31978000000,42934000000,59731000000,46179000000,270066000000,3169495000000,2064446000000,1.9658485122623857,1.1022286808972013,11.515,61.74655633815634,43.27724225681078,megabank
2,BANK OF AMERICA CORP,BAC,2022,-21156000000,72565000000,115053000000,27528000000,52462000000,61438000000,42488000000,273197000000,3051375000000,1930341000000,2.2220998901172857,1.0026580749631022,10.75,59.59054117308494,40.41752548539343,megabank
3,BANK OF AMERICA CORP,BAC,2023,-17788000000,130262000000,171912000000,26515000000,56931000000,65845000000,41650000000,291646000000,3180151000000,1923827000000,2.7644069528302877,1.2821524839169363,13.7875,53.73386353567675,38.84218552490675,megabank
4,First Republic Bank,FRCB,2020,23000000,3853000000,4508000000,1064000000,3262000000,2426000000,655000000,11751000000,142502000000,114929000000,2.6766921448852665,0.7863865467838826,9.3825,62.92918423545125,67.35793390503014,failed regional
5,First Republic Bank,FRCB,2021,-31000000,4385000000,5305000000,1478000000,4114000000,3147000000,920000000,15898000000,181087000000,156321000000,2.6851837223265846,0.9096197993112278,10.9225,62.410062820361816,73.18566989930837,failed regional
6,First Republic Bank,FRCB,2022,-331000000,5722000000,6753000000,1665000000,4834000000,3617000000,1031000000,17446000000,212639000000,176437000000,2.6483954987741996,0.8717823714051682,10.192499999999999,61.06124163806175,70.69183586168873,failed regional
7,JPMORGAN CHASE & CO,JPM,2020,7986000000,,,29131000000,54563000000,66656000000,64980000000,279354000000,3386071000000,2144257000000,2.417626622263092,0.4742053908290069,5.0525,60.38271128874974,47.408142026117865,megabank
8,JPMORGAN CHASE & CO,JPM,2021,-84000000,,,48334000000,52311000000,71343000000,69338000000,294127000000,3743567000000,2462303000000,1.8140125778826304,1.2882212251396172,14.52,61.479162309672276,47.892693550254435,megabank
9,JPMORGAN CHASE & CO,JPM,2022,-17341000000,,,37676000000,66710000000,76140000000,61985000000,292332000000,3665743000000,2340179000000,2.0407981142308462,0.8902066968989262,9.997499999999999,59.86005352748176,45.12714804183851,megabank
10,JPMORGAN CHASE & CO,JPM,2023,-10443000000,,,49552000000,89267000000,87172000000,68837000000,327878000000,3875393000000,2400688000000,3.0911363038331743,1.5021975709977153,15.985,50.01008793138817,43.464711693404595,megabank
11,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,2020,2770000000,11307000000,18262000000,7558000000,9946000000,10297000000,6955000000,54010000000,466679000000,365345000000,2.6423356039496393,0.4928465305098943,4.875,60.75175893722952,44.61811706591435,resilient regional
12,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,2021,409000000,11134000000,19698000000,5725000000,10647000000,13002000000,8564000000,55695000000,557191000000,457278000000,2.23315805688926,1.235212874775987,12.46,65.67152350015068,46.11027598035432,resilient regional
13,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,2022,-10172000000,15436000000,23542000000,6113000000,13014000000,13170000000,8106000000,45774000000,557263000000,436282000000,2.5125116921726387,1.0261944496589719,11.752500000000001,64.51892331056582,45.5494492101579,resilient regional
14,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,2023,-7712000000,24308000000,31882000000,5647000000,13916000000,14012000000,7574000000,51105000000,561580000000,421418000000,2.9611710166957117,1.1473060882756903,13.9225,59.52194595500924,45.7856527964535,resilient regional
15,SVB Financial Group,SIVB,2020,622517000,2241610000,4081758000,1294294000,2156284000,2035041000,1840148000,8219700000,115511007000,101981807000,2.8232868440882815,0.896994861144242,12.67,50.32140747038901,84.84221233436799,failed regional
16,SVB Financial Group,SIVB,2021,-9000000,3289000000,6027000000,2073000000,3179000000,3070000000,2738000000,16236000000,211478000000,189203000000,2.1136754309614916,0.8239217277071575,12.787500000000001,55.17345101910248,86.57570417879276,failed regional
17,SVB Financial Group,SIVB,2022,-1911000000,5673000000,7401000000,1609000000,4485000000,3621000000,1728000000,16004000000,211793000000,173109000000,2.2135541440774578,0.9721399619170574,13.8475,46.96586285947106,86.61398754564641,failed regional
18,Signature Bank,SBNY,2020,-72896000,1931646000,2006894000,528359000,1519092000,614054000,75248000,5826909000,73888344000,63315323000,2.9221434561828485,0.8172055017703483,9.415,39.43948208148129,85.59573556509012,failed regional
19,Signature Bank,SBNY,2021,-222332000,2190381000,2311273000,918441000,1880524000,703600000,120892000,7840618000,118445427000,106132794000,2.3563286276804156,0.9505078702718383,12.6875,36.85361939788587,90.86828703973883,failed regional
20,Signature Bank,SBNY,2022,-1997240000,3550337000,3711374000,1337049000,2535334000,862197000,161037000,8013101000,110363651000,88589727000,2.1241073199718947,1.1482346897285356,17.0125,31.63345207999502,91.06953052304326,failed regional
