"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2026","0.40","0.17","0.40","0.17","12.13K","0.00%"
"07/30/2026","0.40","0.40","0.40","0.31","25.06K","0.00%"
"07/29/2026","0.40","0.17","0.40","0.17","1.64K","-2.44%"
"07/28/2026","0.41","0.17","0.41","0.17","0.73K","2.50%"
"07/24/2026","0.40","0.15","0.42","0.15","0.87K","14.29%"
"07/23/2026","0.35","0.15","0.42","0.15","1.84K","-18.60%"
"07/22/2026","0.43","0.16","0.44","0.16","5.22K","0.00%"
"07/20/2026","0.43","0.16","0.43","0.15","11.89K","0.00%"
"07/17/2026","0.43","0.15","0.44","0.15","14.52K","0.00%"
"07/16/2026","0.43","0.40","0.43","0.40","1.28K","0.00%"
"07/15/2026","0.43","0.44","0.44","0.43","0.23K","-8.51%"
"07/14/2026","0.47","0.15","0.47","0.15","1.20K","0.00%"
"07/13/2026","0.47","0.15","0.47","0.15","20.54K","0.00%"
"07/10/2026","0.47","0.15","0.47","0.15","0.67K","0.00%"
"07/09/2026","0.47","0.15","0.47","0.15","2.43K","34.29%"
"07/08/2026","0.35","0.30","0.35","0.30","3.62K","0.00%"
"07/07/2026","0.35","0.34","0.36","0.15","97.41K","4.48%"
"07/06/2026","0.34","0.34","0.34","0.34","2.29K","0.00%"
"07/02/2026","0.34","0.34","0.34","0.34","2.05K","-23.86%"
"07/01/2026","0.44","0.34","0.44","0.34","2.69K","-2.22%"
"06/30/2026","0.45","0.45","0.45","0.45","0.16K","0.00%"
"06/26/2026","0.45","0.40","0.49","0.10","2.23K","12.39%"
"06/25/2026","0.40","0.34","0.48","0.34","100.07K","-11.12%"
"06/24/2026","0.45","0.40","0.45","0.34","70.11K","0.00%"
"06/23/2026","0.45","0.45","0.45","0.45","0.46K","-8.14%"
"06/22/2026","0.49","0.49","0.49","0.49","0.30K","0.00%"
"06/18/2026","0.49","0.34","0.49","0.34","1.30K","0.00%"
"06/17/2026","0.49","0.32","0.49","0.32","2.63K","0.00%"
"06/16/2026","0.49","0.32","0.50","0.32","30.84K","40.00%"
"06/15/2026","0.35","0.32","0.55","0.32","28.85K","-27.08%"
"06/12/2026","0.48","0.47","0.58","0.32","1.91M","2.13%"
"06/11/2026","0.47","0.32","0.50","0.32","682.90K","-6.00%"
"06/09/2026","0.50","0.32","0.50","0.32","21.46K","11.11%"
"06/08/2026","0.45","0.46","0.46","0.45","1.33K","2.27%"
"06/05/2026","0.44","0.42","0.50","0.40","55.03K","-2.22%"
"06/04/2026","0.45","0.38","0.47","0.32","667.78K","18.42%"
"06/03/2026","0.38","0.32","0.47","0.32","41.37K","-19.15%"
"06/02/2026","0.47","0.35","0.47","0.35","3.50K","-6.00%"
"06/01/2026","0.50","0.32","0.50","0.32","13.78K","0.00%"
"05/29/2026","0.50","0.40","0.54","0.35","25.57K","25.00%"
"05/28/2026","0.40","0.38","0.50","0.25","46.03K","-20.00%"
"05/27/2026","0.50","0.40","0.54","0.40","23.08K","-7.41%"
"05/26/2026","0.54","0.40","0.60","0.40","75.49K","-1.82%"
"05/22/2026","0.55","0.43","0.55","0.43","0.87K","-1.79%"
"05/21/2026","0.56","0.43","0.56","0.43","8.20K","0.00%"
"05/20/2026","0.56","0.41","0.59","0.41","16.53K","-5.08%"
"05/19/2026","0.59","0.40","0.59","0.40","0.70K","5.36%"
"05/18/2026","0.56","0.40","0.59","0.40","13.93K","-5.08%"
"05/15/2026","0.59","0.59","0.59","0.59","1.82K","1.72%"
"05/14/2026","0.58","0.40","0.59","0.40","4.41K","-3.33%"
"05/13/2026","0.60","0.58","0.60","0.58","2.83K","1.69%"
"05/12/2026","0.59","0.60","0.63","0.50","5.36K","-3.28%"
"05/11/2026","0.61","0.56","0.64","0.52","21.45K","-6.15%"
"05/08/2026","0.65","0.56","0.65","0.56","0.84K","0.00%"
"05/07/2026","0.65","0.60","0.65","0.60","2.71K","0.00%"
"05/06/2026","0.65","0.56","0.65","0.56","5.41K","-2.99%"
"05/05/2026","0.67","0.67","0.67","0.56","2.57K","-1.47%"
"05/04/2026","0.68","0.68","0.68","0.52","3.22K","-2.86%"
"05/01/2026","0.70","0.56","0.70","0.56","7.46K","2.94%"
"04/29/2026","0.68","0.55","0.68","0.55","8.34K","0.00%"
"04/28/2026","0.68","0.53","0.68","0.53","2.12K","0.00%"
"04/27/2026","0.68","0.68","0.68","0.52","3.47K","0.00%"
"04/24/2026","0.68","0.61","0.68","0.61","4.85K","-5.56%"
"04/21/2026","0.72","0.75","0.75","0.70","0.93K","0.00%"
"04/17/2026","0.72","0.52","0.72","0.52","2.06K","0.00%"
"04/15/2026","0.72","0.53","0.72","0.53","8.81K","0.00%"
"04/14/2026","0.72","0.58","0.75","0.58","3.06K","0.00%"
"04/09/2026","0.72","0.75","0.75","0.72","5.14K","-4.00%"
"04/08/2026","0.75","0.55","0.75","0.55","6.00K","4.17%"
"04/07/2026","0.72","0.60","0.72","0.58","3.74K","0.00%"
"04/06/2026","0.72","0.72","0.72","0.52","18.50K","2.86%"
"04/02/2026","0.70","0.73","0.73","0.59","54.09K","7.69%"
"04/01/2026","0.65","0.65","0.65","0.61","13.51K","0.00%"
"03/31/2026","0.65","0.52","0.65","0.52","16.10K","0.00%"
"03/30/2026","0.65","0.65","0.72","0.65","31.54K","0.00%"
"03/27/2026","0.65","0.60","0.65","0.55","186.36K","8.33%"
